kepid,tm_designation,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,ra_str,dec,dec_str,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,tycho2_match_id,tycho2_match_dist_deg,tycho2_match_btmag,tycho2_match_ra,tycho2_match_dec,pmra,pmdec,parallax
8545504,2MASS J19003163+4440566,5077,87.0,-87.0,2.9360000000000004,0.01,-0.011,-0.05,0.06,-0.06,1.43,0.14,-0.13,6.74,0.27,-0.25,0.0065780000000000005,0.0001831,-0.0001831,MULT55,11.689,0,0,0,,q1_q17_dr24_stellar,2015-01-15,285.13177,19h00m31.62s,44.6824,+44d40m56.6s,11111111111111111,PHO55,AST55,SPE55,10.136,0.021,9.652,0.017,9.554,0.016,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,168.262,172.33700000000005,176.452,174.865,176.838,176.458,175.47799999999995,172.00599999999997,165.40400000000002,156.839,148.907,142.264,140.341,130.003,3132-1859-1,2.4298823955437425e-05,12.851,285.13177277077136,44.682375784823705,1.1080737088394899,-6.960006597258804,0.4561064233136031
8556823,2MASS J19222499+4440514,6412,181.0,-247.0,4.06,0.252,-0.262,-0.08,0.24,-0.3,1.32,0.26,-0.29,1.773,0.825,-0.5820000000000001,0.3339,0.5431,-0.2092,DSEP,11.8,0,0,0,,q1_q17_dr24_stellar,2015-01-15,290.60413,19h22m24.99s,44.68095,+44d40m51.4s,11111111111111111,PHO54,PHO54,PHO54,11.038,0.021,10.799,0.022,10.789,0.015,0.8753,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,56.51600000000001,51.022,48.69600000000001,45.541,43.773,40.468,39.01300000000001,36.976,34.414,32.475,31.125,30.079,29.788,28.18,3146-658-1,2.680903629165514e-05,12.277,290.6041525210304,44.680928493783256,2.27391937142996,-4.910228555658243,1.4252474447254269
8569885,2MASS J19415970+4438547,5040,144.0,-199.0,2.573,0.034,-0.028,0.07,0.14,-0.63,3.16,0.1,-2.05,15.213,0.513,-6.305,0.001264,0.0009186,-9.835e-05,DSEP,9.042,0,0,0,,q1_q17_dr24_stellar,2015-01-15,295.4987799999999,19h41m59.71s,44.648548,+44d38m54.8s,11111111111111111,PHO1,AST9,KIC0,7.521,0.023,7.117000000000001,0.02,7.024,0.016,0.8754,1459.789,7.1,7.1,7.1,9.755,11.886,9.072,9.612,8.357999999999999,9.335,8.517000000000001,7.956,7.1,7.103,7.1,70.983,82.381,92.191,99.091,108.586,124.026,129.114,137.378,146.355,150.683,151.936,153.108,153.704,156.928,3148-885-1,6.273929367455621e-06,10.466,295.4987813503821,44.64854180288747,2.31023849596749,-3.0456816979651826,1.0286764690447279
8573783,2MASS J19464436+4441040,5109,74.0,-182.0,2.833,0.033,-0.03,0.07,0.14,-0.59,2.81,0.16,-1.55,10.656,0.374,-3.569,0.003276,0.001765,-0.0002507,DSEP,11.137,0,0,0,,q1_q17_dr24_stellar,2015-01-15,296.68481,19h46m44.35s,44.684471,+44d41m04.1s,11101111111111111,PHO1,AST9,KIC0,9.549,0.02,9.051,0.018000000000000002,8.936,0.015,0.8201,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,131.208,142.92600000000004,151.524,154.487,160.24200000000005,166.253,167.27,168.62099999999995,167.355,162.326,157.675,152.952,151.891,142.869,3148-937-1,2.3859880382880394e-05,12.414,296.68482267219537,44.68444888856949,-2.847778898561653,-8.666471576423426,1.0977154178114588
8481224,2MASS J19012427+4432240,4062,86.0,-117.0,1.3130000000000002,0.03,-0.029,-0.14,0.21,-0.26,1.8,1.21,-0.77,48.973,13.452,-11.951,2.155e-05,7.394e-06,-2.705e-06,DSEP,10.363,0,0,0,,q1_q17_dr24_stellar,2015-01-15,285.35114,19h01m24.27s,44.539974,+44d32m23.9s,11111111111111111,PHO54,AST54,PHO54,8.294,0.019,7.5710000000000015,0.026,7.396,0.018000000000000002,0.8748,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,27.646,27.663,29.497,30.783,32.843,36.227,37.827,41.643,47.93600000000001,52.048,54.372,57.179,58.408,66.809,3132-946-1,1.8430439999894915e-05,13.062,285.351135619074,44.53995582802133,1.5842897162775484,-8.981659451241725,0.3293428814585159
8488978,2MASS J19174674+4434306,6642,150.0,-195.0,4.136,0.192,-0.27,-0.36,0.22,-0.3,1.2,0.27,-0.19,1.548,0.747,-0.386,0.4556,0.4819,-0.2904,DSEP,11.419,0,0,0,,q1_q17_dr24_stellar,2015-01-15,289.4447600000001,19h17m46.74s,44.57518,+44d34m30.6s,11111111111111111,PHO1,KIC0,KIC0,10.493,0.023,10.357,0.022,10.295,0.011,0.8751,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,55.983,53.844,54.75899999999999,54.392,55.252,56.153,56.63800000000001,58.492,61.541,63.862,66.44800000000001,69.485,70.628,77.14,3133-185-1,2.3875150707888617e-05,11.945,289.44472839083164,44.57517205550455,2.024213178304141,-1.0480005963800556,1.3590054836702057
8539432,2MASS J18471753+4437138,5821,190.0,-182.0,3.813,0.456,-0.224,-0.18,0.32,-0.28,1.19,0.27,-0.29,2.2430000000000003,0.845,-1.079,0.1491,0.6703,-0.08486,DSEP,11.815,0,0,0,,q1_q17_dr24_stellar,2015-01-15,281.82303,18h47m17.53s,44.620529,+44d37m13.9s,11111111111111111,PHO54,PHO54,PHO54,10.607,0.02,10.222,0.018000000000000002,10.221,0.011,0.8754,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,69.608,63.948,61.732,58.112,56.127,52.364,51.0,49.055,46.958,45.088,44.092,43.295,43.151,41.791,3130-398-1,2.219811480254158e-05,12.648,281.82303095592164,44.62055118355417,-1.1451317249612871,10.794550665492348,2.03150960111765
8560861,2MASS J19283345+4440218,7854,234.0,-306.0,3.669,0.245,-0.1,-0.12,0.3,-0.32,2.04,0.3,-0.37,3.462,0.652,-1.094,0.06921000000000001,0.1083,-0.02287,DSEP,8.5,0,1,2,008/008560/008560861/dv/kplr008560861-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,292.1394,19h28m33.46s,44.672741,+44d40m21.9s,11111111111111111,KIC0,KIC0,KIC0,7.965,0.02,7.926,0.021,7.882999999999999,0.017,0.8691,1459.789,7.1,24.277,29.578000000000007,47.006,28.654,36.581,34.015,28.36,39.285,42.125,37.685,37.673,31.601,23.839,18.593,19.609,21.453000000000007,22.911,24.754,27.115,27.861,29.644,32.654,35.135,37.518,40.285,41.293,47.867,,6.613302226726415e-06,8.745,292.13939071754845,44.67274219955083,-3.2274796682021534,3.676349146403328,2.2988654746606545
8608260,2MASS J18560740+4447248,8105,244.0,-314.0,3.937,0.214,-0.2,-0.2,0.27,-0.36,1.87,0.21,-0.34,2.4330000000000003,0.7609999999999999,-0.679,0.1828,0.2312,-0.09473,DSEP,10.876,0,0,3,008/008608/008608260/dv/kplr008608260-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,284.03085,18h56m07.40s,44.790241,+44d47m24.9s,11111111111111111,KIC0,KIC0,KIC0,10.375,0.024,10.365,0.018000000000000002,10.316,0.014,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,384.371,334.677,312.575,285.785,271.247,242.345,230.819,211.678,190.49400000000003,174.15099999999995,161.743,152.031,149.046,135.446,3131-1633-1,1.7203062292734435e-05,11.041,284.03084121589745,44.790224996396624,3.5240764800893216,-1.3493109311760407,1.2278617443573276
8453527,2MASS J19553153+4427518,8224,228.0,-341.0,3.725,0.272,-0.114,-0.1,0.31,-0.4,2.05,0.38,-0.38,3.249,0.758,-1.068,0.08402000000000001,0.1494,-0.0314,DSEP,10.713,0,0,1,008/008453/008453527/dv/kplr008453527-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,298.88138,19h55m31.53s,44.464409,+44d27m51.9s,11111111111111111,KIC0,KIC0,KIC0,10.182,0.029,10.131,0.032,10.067,0.018000000000000002,0.8753,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,24.433000000000003,22.013,21.142,19.873,19.176,17.86,17.302,16.432000000000002,15.28,14.28,13.457,12.681,12.45,11.380999999999998,3149-544-1,2.6259612512867202e-05,11.066,298.88139924131724,44.46438662577697,-1.20552270916343,-2.421254687009124,1.1124304099317626
